Rank,Song,Artist,Year,Concatenated,Concatenated_no_rank,song_artist
,,,,194 Bohemian Rhapsody Queen 1976,Bohemian Rhapsody Queen 1976,Bohemian Rhapsody Queen 
,,,,195 Little Things Mean a Lot Kitty Kallen 1954,Little Things Mean a Lot Kitty Kallen 1954,Little Things Mean a Lot Kitty Kallen 
,,,,196 Cry Johnnie Ray 1952,Cry Johnnie Ray 1952,Cry Johnnie Ray 
,,,,197 All Shook Up Elvis Presley 1957,All Shook Up Elvis Presley 1957,All Shook Up Elvis Presley 
,,,,198 Up Where We Belong Joe Cocker & Jennifer,Up Where We Belong Joe Cocker & Jennifer,Up Where We Belong Joe Cocker & 
,,,,Warnes 1982,1982,#VALUE!
,,,,199 Sledgehammer Peter Gabriel 1986,Sledgehammer Peter Gabriel 1986,Sledgehammer Peter Gabriel 
,,,,200 Fire & Rain James Taylor 1970,Fire & Rain James Taylor 1970,Fire & Rain James Taylor 
,,,,201 Stop! in the Name of Love The Supremes 1965,Stop! in the Name of Love The Supremes 1965,Stop! in the Name of Love The Supremes 
,,,,202 Sweet Home Alabama Lynyrd Skynyrd 1974,Sweet Home Alabama Lynyrd Skynyrd 1974,Sweet Home Alabama Lynyrd Skynyrd 
,,,,203 Another Day in Paradise Phil Collins 1989,Another Day in Paradise Phil Collins 1989,Another Day in Paradise Phil Collins 
,,,,204 Bleeding Love Leona Lewis 2008,Bleeding Love Leona Lewis 2008,Bleeding Love Leona Lewis 
,,,,205 Lady Marmalade (Voulez-Vous Coucher Aver,Lady Marmalade (Voulez-Vous Coucher Aver,Lady Marmalade (Voulez-Vous Coucher 
,,,,Moi Ce Soir?) Patti LaBelle 1975,Ce Soir?) Patti LaBelle 1975,Ce Soir?) Patti LaBelle 
,,,,206 Whispering Paul Whiteman 1920,Whispering Paul Whiteman 1920,Whispering Paul Whiteman 
,,,,207 Vogue Madonna 1990,Vogue Madonna 1990,Vogue Madonna 
,,,,208 Under the Bridge Red Hot Chili Peppers 1992,Under the Bridge Red Hot Chili Peppers 1992,Under the Bridge Red Hot Chili Peppers 
,,,,209 Sixteen Tons Tennessee Ernie Ford 1955,Sixteen Tons Tennessee Ernie Ford 1955,Sixteen Tons Tennessee Ernie Ford 
,,,,210 Sugar Shack The Fireballs 1963,Sugar Shack The Fireballs 1963,Sugar Shack The Fireballs 
,,,,211 Baby Love The Supremes 1964,Baby Love The Supremes 1964,Baby Love The Supremes 
,,,,212 What a Fool Believes The Doobie Brothers 1979,What a Fool Believes The Doobie Brothers 1979,What a Fool Believes The Doobie Brothers 
,,,,213 Lose Yourself Eminem 2002,Lose Yourself Eminem 2002,Lose Yourself Eminem 
,,,,214 Hello Dolly Louis Armstrong 1964,Hello Dolly Louis Armstrong 1964,Hello Dolly Louis Armstrong 
,,,,215 Brown Eyed Girl Van Morrison 1967,Brown Eyed Girl Van Morrison 1967,Brown Eyed Girl Van Morrison 
,,,,216 Without You Harry Nilsson 1972,Without You Harry Nilsson 1972,Without You Harry Nilsson 
,,,,217 Build Me Up Buttercup The Foundations 1969,Build Me Up Buttercup The Foundations 1969,Build Me Up Buttercup The Foundations 
,,,,218 We Found Love Rihanna & Calvin Harris 2012,We Found Love Rihanna & Calvin Harris 2012,We Found Love Rihanna & Calvin Harris 
,,,,219 Tears in Heaven Eric Clapton 1992,Tears in Heaven Eric Clapton 1992,Tears in Heaven Eric Clapton 
,,,,220 Family Affair Sly & The Family Stone 1971,Family Affair Sly & The Family Stone 1971,Family Affair Sly & The Family Stone 
,,,,221 All I Wanna Do Sheryl Crow 1994,All I Wanna Do Sheryl Crow 1994,All I Wanna Do Sheryl Crow 
,,,,222 Soul Man Sam & Dave 1967,Soul Man Sam & Dave 1967,Soul Man Sam & Dave 
,,,,223 Tequila Champs 1958,Tequila Champs 1958,Tequila Champs 
,,,,224 Rock With You Michael Jackson 1980,Rock With You Michael Jackson 1980,Rock With You Michael Jackson 
,,,,225 Livin' La Vida Loca Ricky Martin 1999,Livin' La Vida Loca Ricky Martin 1999,Livin' La Vida Loca Ricky Martin 
226,Best of My Love,The Emotions,1977,226 Best of My Love The Emotions 1977,Best of My Love The Emotions 1977,Best of My Love The Emotions 
227,Runaway,Del Shannon,1961,227 Runaway Del Shannon 1961,Runaway Del Shannon 1961,Runaway Del Shannon 
228,Alone Again (Naturally),Gilbert O'Sullivan,1972,228 Alone Again (Naturally) Gilbert O'Sullivan 1972,Alone Again (Naturally) Gilbert O'Sullivan 1972,Alone Again (Naturally) Gilbert O'Sullivan 
229,Can't Help Falling in Love,UB40,1993,229 Can't Help Falling in Love UB40 1993,Can't Help Falling in Love UB40 1993,Can't Help Falling in Love UB40 
230,My Sweet Lord,George Harrison,1971,230 My Sweet Lord George Harrison 1971,My Sweet Lord George Harrison 1971,My Sweet Lord George Harrison 
231,Runaround Sue,Dion,1961,231 Runaround Sue Dion 1961,Runaround Sue Dion 1961,Runaround Sue Dion 
232,Swinging On a Star,Bing Crosby,1944,232 Swinging On a Star Bing Crosby 1944,Swinging On a Star Bing Crosby 1944,Swinging On a Star Bing Crosby 
233,Gold Digger,Kanye West & Jamie Foxx,2005,233 Gold Digger Kanye West & Jamie Foxx 2005,Gold Digger Kanye West & Jamie Foxx 2005,Gold Digger Kanye West & Jamie Foxx 
234,Happy Together,The Turtles,1967,234 Happy Together The Turtles 1967,Happy Together The Turtles 1967,Happy Together The Turtles 
235,Losing My Religion,REM,1991,235 Losing My Religion REM 1991,Losing My Religion REM 1991,Losing My Religion REM 
236,Heart of Gold,Neil Young,1972,236 Heart of Gold Neil Young 1972,Heart of Gold Neil Young 1972,Heart of Gold Neil Young 
237,Stardust,Artie Shaw,1941,237 Stardust Artie Shaw 1941,Stardust Artie Shaw 1941,Stardust Artie Shaw 
238,Will You Love Me Tomorrow,The Shirelles,1961,238 Will You Love Me Tomorrow The Shirelles 1961,Will You Love Me Tomorrow The Shirelles 1961,Will You Love Me Tomorrow The Shirelles 
239,You Are the Sunshine of My Life,Stevie Wonder,1973,239 You Are the Sunshine of My Life Stevie Wonder 1973,You Are the Sunshine of My Life Stevie Wonder 1973,You Are the Sunshine of My Life Stevie Wonder 
240,You Were Meant for Me,Jewel,1997,240 You Were Meant for Me Jewel 1997,You Were Meant for Me Jewel 1997,You Were Meant for Me Jewel 
241,Take On Me,A-Ha,1985,241 Take On Me A-Ha 1985,Take On Me A-Ha 1985,Take On Me A-Ha 
242,Hollaback Girl,Gwen Stefani,2005,242 Hollaback Girl Gwen Stefani 2005,Hollaback Girl Gwen Stefani 2005,Hollaback Girl Gwen Stefani 
243,God Bless America,Kate Smith,1939,243 God Bless America Kate Smith 1939,God Bless America Kate Smith 1939,God Bless America Kate Smith 
244,I Swear,All-4-One,1994,244 I Swear All-4-One 1994,I Swear All-4-One 1994,I Swear All-4-One 
245,Sunshine of Your Love,Cream,1968,245 Sunshine of Your Love Cream 1968,Sunshine of Your Love Cream 1968,Sunshine of Your Love Cream 
246,Firework,Katy Perry,2011,246 Firework Katy Perry 2011,Firework Katy Perry 2011,Firework Katy Perry 
247,Groovin',The Young Rascals,1967,247 Groovin' The Young Rascals 1967,Groovin' The Young Rascals 1967,Groovin' The Young Rascals 
248,Smells Like Teen Spirit,Nirvana,1992,248 Smells Like Teen Spirit Nirvana 1992,Smells Like Teen Spirit Nirvana 1992,Smells Like Teen Spirit Nirvana 
249,Big Girls Don't Cry,Fergie,2007,249 Big Girls Don't Cry Fergie 2007,Big Girls Don't Cry Fergie 2007,Big Girls Don't Cry Fergie 
250,Jack & Diane,John Cougar Mellencamp,1982,250 Jack & Diane John Cougar Mellencamp 1982,Jack & Diane John Cougar Mellencamp 1982,Jack & Diane John Cougar Mellencamp 
251,Addicted to Love,Robert Palmer,1986,251 Addicted to Love Robert Palmer 1986,Addicted to Love Robert Palmer 1986,Addicted to Love Robert Palmer 
252,The Last Dance,Donna Summer,1978,252 The Last Dance Donna Summer 1978,The Last Dance Donna Summer 1978,The Last Dance Donna Summer 
253,Georgia On My Mind,Ray Charles,1960,253 Georgia On My Mind Ray Charles 1960,Georgia On My Mind Ray Charles 1960,Georgia On My Mind Ray Charles 
254,Money For Nothing,Dire Straits,1985,254 Money For Nothing Dire Straits 1985,Money For Nothing Dire Straits 1985,Money For Nothing Dire Straits 
255,Jump,Van Halen,1984,255 Jump Van Halen 1984,Jump Van Halen 1984,Jump Van Halen 
256,Vaya Con Dios (may God Be With You),Les Paul & Mary Ford,1953,256 Vaya Con Dios (may God Be With You) Les Paul & Mary Ford 1953,Vaya Con Dios (may God Be With You) Les Paul & Mary Ford 1953,Vaya Con Dios (may God Be With You) Les Paul & Mary Ford 
257,You'll Never Know,Dick Haymes,1943,257 You'll Never Know Dick Haymes 1943,You'll Never Know Dick Haymes 1943,You'll Never Know Dick Haymes 
258,That'll Be the Day,Buddy Holly,1957,258 That'll Be the Day Buddy Holly 1957,That'll Be the Day Buddy Holly 1957,That'll Be the Day Buddy Holly 
259,Girls Just Wanna Have Fun,Cyndi Lauper,1984,259 Girls Just Wanna Have Fun Cyndi Lauper 1984,Girls Just Wanna Have Fun Cyndi Lauper 1984,Girls Just Wanna Have Fun Cyndi Lauper 
260,Wheel of Fortune,Kay Starr,1952,260 Wheel of Fortune Kay Starr 1952,Wheel of Fortune Kay Starr 1952,Wheel of Fortune Kay Starr 
261,When You Wish Upon a Star,Cliff Edwards (Ukelele Ike),1940,261 When You Wish Upon a Star Cliff Edwards (Ukelele Ike) 1940,When You Wish Upon a Star Cliff Edwards (Ukelele Ike) 1940,When You Wish Upon a Star Cliff Edwards (Ukelele Ike) 
262,Don't Fence Me In,"Bing Crosby & The Andrews
Sisters",1944,"262 Don't Fence Me In Bing Crosby & The Andrews
Sisters 1944",Don't Fence Me In Bing Crosby & The Andrews,Don't Fence Me In Bing Crosby & The 
263,"Turn! Turn! Turn! (To Everything There is a
Season)",The Byrds,1965,"263 Turn! Turn! Turn! (To Everything There is a
Season) The Byrds 1965",Turn! Turn! Turn! (To Everything There is a,Turn! Turn! Turn! (To Everything There is 
264,Volare,Domenico Modugno,1958,264 Volare Domenico Modugno 1958,Volare Domenico Modugno 1958,Volare Domenico Modugno 
265,Sweet Dreams (Are Made of This),The Eurythmics,1983,265 Sweet Dreams (Are Made of This) The Eurythmics 1983,Sweet Dreams (Are Made of This) The Eurythmics 1983,Sweet Dreams (Are Made of This) The Eurythmics 
266,Whole Lotta Love,Led Zeppelin,1970,266 Whole Lotta Love Led Zeppelin 1970,Whole Lotta Love Led Zeppelin 1970,Whole Lotta Love Led Zeppelin 
267,You've Got a Friend,James Taylor,1971,267 You've Got a Friend James Taylor 1971,You've Got a Friend James Taylor 1971,You've Got a Friend James Taylor 
268,Penny Lane,The Beatles,1967,268 Penny Lane The Beatles 1967,Penny Lane The Beatles 1967,Penny Lane The Beatles 
269,People Got to Be Free,The Young Rascals,1968,269 People Got to Be Free The Young Rascals 1968,People Got to Be Free The Young Rascals 1968,People Got to Be Free The Young Rascals 
270,Nature Boy,Nat King Cole,1948,270 Nature Boy Nat King Cole 1948,Nature Boy Nat King Cole 1948,Nature Boy Nat King Cole 
271,Sexyback,Justin Timberlake,2006,271 Sexyback Justin Timberlake 2006,Sexyback Justin Timberlake 2006,Sexyback Justin Timberlake 
272,Crying,Roy Orbison,1961,272 Crying Roy Orbison 1961,Crying Roy Orbison 1961,Crying Roy Orbison 
273,Single Ladies (Put A Ring On It),Beyonce,2009,273 Single Ladies (Put A Ring On It) Beyonce 2009,Single Ladies (Put A Ring On It) Beyonce 2009,Single Ladies (Put A Ring On It) Beyonce 
274,Bad Girls,Donna Summer,1979,274 Bad Girls Donna Summer 1979,Bad Girls Donna Summer 1979,Bad Girls Donna Summer 
275,Too Close,Next,1998,275 Too Close Next 1998,Too Close Next 1998,Too Close Next 
276,I Got You Babe,Sonny & Cher,1965,276 I Got You Babe Sonny & Cher 1965,I Got You Babe Sonny & Cher 1965,I Got You Babe Sonny & Cher 
277,We've Only Just Begun,Carpenters,1970,277 We've Only Just Begun Carpenters 1970,We've Only Just Begun Carpenters 1970,We've Only Just Begun Carpenters 
278,Sh-Boom (Life Could Be a Dream),The Crew-Cuts,1954,278 Sh-Boom (Life Could Be a Dream) The Crew-Cuts 1954,Sh-Boom (Life Could Be a Dream) The Crew-Cuts 1954,Sh-Boom (Life Could Be a Dream) The Crew-Cuts 
279,Shining Star,"Earth, Wind & Fire",1975,"279 Shining Star Earth, Wind & Fire 1975","Shining Star Earth, Wind & Fire 1975","Shining Star Earth, Wind & Fire "
280,Kansas City,Wilbert Harrison,1959,280 Kansas City Wilbert Harrison 1959,Kansas City Wilbert Harrison 1959,Kansas City Wilbert Harrison 
281,Like a Prayer,Madonna,1989,281 Like a Prayer Madonna 1989,Like a Prayer Madonna 1989,Like a Prayer Madonna 
282,Cheek to Cheek,Fred Astaire,1935,282 Cheek to Cheek Fred Astaire 1935,Cheek to Cheek Fred Astaire 1935,Cheek to Cheek Fred Astaire 
283,Papa Was a Rolling Stone,The Temptations,1972,283 Papa Was a Rolling Stone The Temptations 1972,Papa Was a Rolling Stone The Temptations 1972,Papa Was a Rolling Stone The Temptations 
284,Promiscuous,Nelly Furtado & Timbaland,2006,284 Promiscuous Nelly Furtado & Timbaland 2006,Promiscuous Nelly Furtado & Timbaland 2006,Promiscuous Nelly Furtado & Timbaland 
285,Love Shack,The B52s,1989,285 Love Shack The B52s 1989,Love Shack The B52s 1989,Love Shack The B52s 
286,Funkytown,Lipps Inc,1980,286 Funkytown Lipps Inc 1980,Funkytown Lipps Inc 1980,Funkytown Lipps Inc 
287,Crazy,Patsy Cline,1961,287 Crazy Patsy Cline 1961,Crazy Patsy Cline 1961,Crazy Patsy Cline 
288,Philadelphia Freedom,Elton John,1975,288 Philadelphia Freedom Elton John 1975,Philadelphia Freedom Elton John 1975,Philadelphia Freedom Elton John 
289,Temperature,Sean Paul,2006,289 Temperature Sean Paul 2006,Temperature Sean Paul 2006,Temperature Sean Paul 
290,Somebody That I Used to Know,Gotye & Kimbra,2012,290 Somebody That I Used to Know Gotye & Kimbra 2012,Somebody That I Used to Know Gotye & Kimbra 2012,Somebody That I Used to Know Gotye & Kimbra 
291,All I Have to Do is Dream,The Everly Brothers,1958,291 All I Have to Do is Dream The Everly Brothers 1958,All I Have to Do is Dream The Everly Brothers 1958,All I Have to Do is Dream The Everly Brothers 
292,Jessie's Girl,Rick Springfield,1981,292 Jessie's Girl Rick Springfield 1981,Jessie's Girl Rick Springfield 1981,Jessie's Girl Rick Springfield 
293,Rhinestone Cowboy,Glen Campbell,1975,293 Rhinestone Cowboy Glen Campbell 1975,Rhinestone Cowboy Glen Campbell 1975,Rhinestone Cowboy Glen Campbell 
294,Blue Suede Shoes,Carl Perkins,1956,294 Blue Suede Shoes Carl Perkins 1956,Blue Suede Shoes Carl Perkins 1956,Blue Suede Shoes Carl Perkins 
295,Ebony & Ivory,"Paul McCartney & Stevie
Wonder",1982,"295 Ebony & Ivory Paul McCartney & Stevie
Wonder 1982",Ebony & Ivory Paul McCartney & Stevie,Ebony & Ivory Paul McCartney & 
296,I'll Never Smile Again,"Tommy Dorsey & Frank
Sinatra",1940,"296 I'll Never Smile Again Tommy Dorsey & Frank
Sinatra 1940",I'll Never Smile Again Tommy Dorsey & Frank,I'll Never Smile Again Tommy Dorsey & 
297,Keep On Loving You,REO Speedwagon,1981,297 Keep On Loving You REO Speedwagon 1981,Keep On Loving You REO Speedwagon 1981,Keep On Loving You REO Speedwagon 
298,Since U Been Gone,Kelly Clarkson,2005,298 Since U Been Gone Kelly Clarkson 2005,Since U Been Gone Kelly Clarkson 2005,Since U Been Gone Kelly Clarkson 
299,The Way You Look Tonight,Fred Astaire,1936,299 The Way You Look Tonight Fred Astaire 1936,The Way You Look Tonight Fred Astaire 1936,The Way You Look Tonight Fred Astaire 
300,Crazy Little Thing Called Love,Queen,1980,300 Crazy Little Thing Called Love Queen 1980,Crazy Little Thing Called Love Queen 1980,Crazy Little Thing Called Love Queen 
301,The Great Pretender,The Platters,1956,301 The Great Pretender The Platters 1956,The Great Pretender The Platters 1956,The Great Pretender The Platters 
302,Brown Sugar,The Rolling Stones,1971,302 Brown Sugar The Rolling Stones 1971,Brown Sugar The Rolling Stones 1971,Brown Sugar The Rolling Stones 
303,Que sera sera (Whatever will be will be),Doris Day,1956,303 Que sera sera (Whatever will be will be) Doris Day 1956,Que sera sera (Whatever will be will be) Doris Day 1956,Que sera sera (Whatever will be will be) Doris Day 
304,No One,Alicia Keys,2008,304 No One Alicia Keys 2008,No One Alicia Keys 2008,No One Alicia Keys 
305,Bad Day,Daniel Powter,2006,305 Bad Day Daniel Powter 2006,Bad Day Daniel Powter 2006,Bad Day Daniel Powter 
306,Boom Boom Pow,The Black Eyed Peas,2009,306 Boom Boom Pow The Black Eyed Peas 2009,Boom Boom Pow The Black Eyed Peas 2009,Boom Boom Pow The Black Eyed Peas 
307,Party Rock Anthem,LMFAO,2011,307 Party Rock Anthem LMFAO 2011,Party Rock Anthem LMFAO 2011,Party Rock Anthem LMFAO 
308,Because of You,Tony Bennett,1951,308 Because of You Tony Bennett 1951,Because of You Tony Bennett 1951,Because of You Tony Bennett 
309,Chattanooga Choo Choo,Glenn Miller,1941,309 Chattanooga Choo Choo Glenn Miller 1941,Chattanooga Choo Choo Glenn Miller 1941,Chattanooga Choo Choo Glenn Miller 
310,A Whiter Shade of Pale,Procol Harum,1967,310 A Whiter Shade of Pale Procol Harum 1967,A Whiter Shade of Pale Procol Harum 1967,A Whiter Shade of Pale Procol Harum 
311,Love Me Tender,Elvis Presley,1956,311 Love Me Tender Elvis Presley 1956,Love Me Tender Elvis Presley 1956,Love Me Tender Elvis Presley 
312,Higher Love,Steve Winwood,1986,312 Higher Love Steve Winwood 1986,Higher Love Steve Winwood 1986,Higher Love Steve Winwood 
313,Footloose,Kenny Loggins,1984,313 Footloose Kenny Loggins 1984,Footloose Kenny Loggins 1984,Footloose Kenny Loggins 
314,Blurred Lines,"Robin Thicke, T.I. & Pharrell
Williams",2013,"314 Blurred Lines Robin Thicke, T.I. & Pharrell
Williams 2013","Blurred Lines Robin Thicke, T.I. & Pharrell","Blurred Lines Robin Thicke, T.I. & "
315,I Just Called to Say I Love You,Stevie Wonder,1984,315 I Just Called to Say I Love You Stevie Wonder 1984,I Just Called to Say I Love You Stevie Wonder 1984,I Just Called to Say I Love You Stevie Wonder 
316,Come Together,The Beatles,1969,316 Come Together The Beatles 1969,Come Together The Beatles 1969,Come Together The Beatles 
317,It's Now Or Never,Elvis Presley,1960,317 It's Now Or Never Elvis Presley 1960,It's Now Or Never Elvis Presley 1960,It's Now Or Never Elvis Presley 
318,Under the Boardwalk,The Drifters,1964,318 Under the Boardwalk The Drifters 1964,Under the Boardwalk The Drifters 1964,Under the Boardwalk The Drifters 
319,Don't You Want Me,The Human League,1982,319 Don't You Want Me The Human League 1982,Don't You Want Me The Human League 1982,Don't You Want Me The Human League 
320,You Can't Hurry Love,The Supremes,1966,320 You Can't Hurry Love The Supremes 1966,You Can't Hurry Love The Supremes 1966,You Can't Hurry Love The Supremes 
321,Fame,Irene Cara,1980,321 Fame Irene Cara 1980,Fame Irene Cara 1980,Fame Irene Cara 
322,Fallin',Alicia Keys,2001,322 Fallin' Alicia Keys 2001,Fallin' Alicia Keys 2001,Fallin' Alicia Keys 
323,Poker Face,Lady GaGa,2009,323 Poker Face Lady GaGa 2009,Poker Face Lady GaGa 2009,Poker Face Lady GaGa 
324,Bad Romance,Lady GaGa,2010,324 Bad Romance Lady GaGa 2010,Bad Romance Lady GaGa 2010,Bad Romance Lady GaGa 
325,Ruby Tuesday,The Rolling Stones,1967,325 Ruby Tuesday The Rolling Stones 1967,Ruby Tuesday The Rolling Stones 1967,Ruby Tuesday The Rolling Stones 
326,All Night Long (All Night),Lionel Richie,1983,326 All Night Long (All Night) Lionel Richie 1983,All Night Long (All Night) Lionel Richie 1983,All Night Long (All Night) Lionel Richie 
327,Baby Got Back,Sir Mix-a-Lot,1992,327 Baby Got Back Sir Mix-a-Lot 1992,Baby Got Back Sir Mix-a-Lot 1992,Baby Got Back Sir Mix-a-Lot 
328,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,1957,328 Whole Lotta Shakin' Goin' On Jerry Lee Lewis 1957,Whole Lotta Shakin' Goin' On Jerry Lee Lewis 1957,Whole Lotta Shakin' Goin' On Jerry Lee Lewis 
329,Frenesi,Artie Shaw,1940,329 Frenesi Artie Shaw 1940,Frenesi Artie Shaw 1940,Frenesi Artie Shaw 
330,December 1963 (Oh What a Night),The Four Seasons,1976,330 December 1963 (Oh What a Night) The Four Seasons 1976,December 1963 (Oh What a Night) The Four Seasons 1976,December 1963 (Oh What a Night) The Four Seasons 
331,Bad Moon Rising,"Creedence Clearwater
Revival",1969,"331 Bad Moon Rising Creedence Clearwater
Revival 1969",Bad Moon Rising Creedence Clearwater,Bad Moon Rising Creedence 
332,Abracadabra,Steve Miller Band,1982,332 Abracadabra Steve Miller Band 1982,Abracadabra Steve Miller Band 1982,Abracadabra Steve Miller Band 
333,I Gotta Feeling,The Black Eyed Peas,2009,333 I Gotta Feeling The Black Eyed Peas 2009,I Gotta Feeling The Black Eyed Peas 2009,I Gotta Feeling The Black Eyed Peas 
334,"The Song From Moulin Rouge (Where Is Your
Heart)",Percy Faith,1953,"334 The Song From Moulin Rouge (Where Is Your
Heart) Percy Faith 1953",The Song From Moulin Rouge (Where Is Your,The Song From Moulin Rouge (Where Is 
335,,,,335 Waiting For a Girl Like You Foreigner 1981,Waiting For a Girl Like You Foreigner 1981,Waiting For a Girl Like You Foreigner 
,,,,336 Everybody Loves Somebody Dean Martin 1964,Everybody Loves Somebody Dean Martin 1964,Everybody Loves Somebody Dean Martin 
,,,,337 I Can't Go For That (No Can Do) Hall & Oates 1982,I Can't Go For That (No Can Do) Hall & Oates 1982,I Can't Go For That (No Can Do) Hall & Oates 
,,,,338 Buttons & Bows Dinah Shore 1948,Buttons & Bows Dinah Shore 1948,Buttons & Bows Dinah Shore 
,,,,339 It's All in the Game Tommy Edwards 1958,It's All in the Game Tommy Edwards 1958,It's All in the Game Tommy Edwards 
,,,,340 Love Train The O'Jays 1973,Love Train The O'Jays 1973,Love Train The O'Jays 
,,,,341 Dance to the Music Sly & The Family Stone 1968,Dance to the Music Sly & The Family Stone 1968,Dance to the Music Sly & The Family Stone 
,,,,342 Candle in the Wind '97 Elton John 1997,Candle in the Wind '97 Elton John 1997,Candle in the Wind '97 Elton John 
,,,,343 Honey Bobby Goldsboro 1968,Honey Bobby Goldsboro 1968,Honey Bobby Goldsboro 
,,,,344 Kiss Prince 1986,Kiss Prince 1986,Kiss Prince 
,,,,345 I'll Take You There The Staple Singers 1972,I'll Take You There The Staple Singers 1972,I'll Take You There The Staple Singers 
,,,,346 Paint it Black The Rolling Stones 1966,Paint it Black The Rolling Stones 1966,Paint it Black The Rolling Stones 
,,,,347 Band of Gold Freda Payne 1970,Band of Gold Freda Payne 1970,Band of Gold Freda Payne 
,,,,348 Just the Way You Are Billy Joel 1978,Just the Way You Are Billy Joel 1978,Just the Way You Are Billy Joel 
,,,,349 Spirit in the Sky Norman Greenbaum 1970,Spirit in the Sky Norman Greenbaum 1970,Spirit in the Sky Norman Greenbaum 
,,,,350 Vision of Love Mariah Carey 1990,Vision of Love Mariah Carey 1990,Vision of Love Mariah Carey 
,,,,351 Hips don't lie Shakira & Wyclef Jean 2006,Hips don't lie Shakira & Wyclef Jean 2006,Hips don't lie Shakira & Wyclef Jean 
,,,,352 Till The End of Time Perry Como 1945,Till The End of Time Perry Como 1945,Till The End of Time Perry Como 
,,,,353 Duke of Earl Gene Chandler 1962,Duke of Earl Gene Chandler 1962,Duke of Earl Gene Chandler 
,,,,354 YMCA The Village People 1979,YMCA The Village People 1979,YMCA The Village People 
,,,,355 Oh My Papa (O Mein Papa) Eddie Fisher 1954,Oh My Papa (O Mein Papa) Eddie Fisher 1954,Oh My Papa (O Mein Papa) Eddie Fisher 
,,,,356 Pistol Packin' Mama Al Dexter & his Troopers 1943,Pistol Packin' Mama Al Dexter & his Troopers 1943,Pistol Packin' Mama Al Dexter & his Troopers 
,,,,357 Gonna Make You Sweat (Everybody Dance,Gonna Make You Sweat (Everybody Dance,Gonna Make You Sweat (Everybody 
,,,,Now) C&C Music Factory 1991,C&C Music Factory 1991,C&C Music Factory 
,,,,358 Dilemma Nelly & Kelly Rowland 2002,Dilemma Nelly & Kelly Rowland 2002,Dilemma Nelly & Kelly Rowland 
,,,,359 I Need You Now Eddie Fisher 1954,I Need You Now Eddie Fisher 1954,I Need You Now Eddie Fisher 
,,,,360 Wanted Perry Como 1954,Wanted Perry Como 1954,Wanted Perry Como 
,,,,361 Jumpin' Jack Flash The Rolling Stones 1968,Jumpin' Jack Flash The Rolling Stones 1968,Jumpin' Jack Flash The Rolling Stones 
,,,,362 Against All Odds (Take a Look At Me Now) Phil Collins 1984,Against All Odds (Take a Look At Me Now) Phil Collins 1984,Against All Odds (Take a Look At Me Now) Phil Collins 
,,,,363 Tom Dooley The Kingston Trio 1958,Tom Dooley The Kingston Trio 1958,Tom Dooley The Kingston Trio 
,,,,364 Goodbye Yellow Brick Road Elton John 1973,Goodbye Yellow Brick Road Elton John 1973,Goodbye Yellow Brick Road Elton John 
,,,,365 Rhapsody in Blue George Gershwin 1924,Rhapsody in Blue George Gershwin 1924,Rhapsody in Blue George Gershwin 
,,,,366 Bennie & the Jets Elton John 1974,Bennie & the Jets Elton John 1974,Bennie & the Jets Elton John 
,,,,367 Call Me Maybe Carly Rae Jepsen 2012,Call Me Maybe Carly Rae Jepsen 2012,Call Me Maybe Carly Rae Jepsen 
,,,,368 You Really Got Me The Kinks 1964,You Really Got Me The Kinks 1964,You Really Got Me The Kinks 
,,,,369 God Bless the Child Billie Holiday 1941,God Bless the Child Billie Holiday 1941,God Bless the Child Billie Holiday 
,,,,370 I'm Sorry Brenda Lee 1960,I'm Sorry Brenda Lee 1960,I'm Sorry Brenda Lee 
,,,,"371 Bad, Bad Leroy Brown Jim Croce 1973","Bad, Bad Leroy Brown Jim Croce 1973","Bad, Bad Leroy Brown Jim Croce "
,,,,372 I Can't Get Next to You The Temptations 1969,I Can't Get Next to You The Temptations 1969,I Can't Get Next to You The Temptations 
,,,,373 The Power of Love Huey Lewis & The News 1985,The Power of Love Huey Lewis & The News 1985,The Power of Love Huey Lewis & The News 
,,,,374 Dreamlover Mariah Carey 1993,Dreamlover Mariah Carey 1993,Dreamlover Mariah Carey 
,,,,375 Only The Lonely (Know The Way I Feel) Roy Orbison 1960,Only The Lonely (Know The Way I Feel) Roy Orbison 1960,Only The Lonely (Know The Way I Feel) Roy Orbison 
,,,,376 We Are Family Sister Sledge 1979,We Are Family Sister Sledge 1979,We Are Family Sister Sledge 
,,,,377 At Last Etta James 1961,At Last Etta James 1961,At Last Etta James 
,,,,378 Brand New Key Melanie 1972,Brand New Key Melanie 1972,Brand New Key Melanie 
,,,,379 I've Heard That Song Before Harry James 1943,I've Heard That Song Before Harry James 1943,I've Heard That Song Before Harry James 
,,,,380 Stay (I Missed You) Lisa Loeb & Nine Stories 1994,Stay (I Missed You) Lisa Loeb & Nine Stories 1994,Stay (I Missed You) Lisa Loeb & Nine Stories 
,,,,381 Do Ya Think I'm Sexy? Rod Stewart 1979,Do Ya Think I'm Sexy? Rod Stewart 1979,Do Ya Think I'm Sexy? Rod Stewart 
,,,,382 Tutti Frutti Little Richard 1955,Tutti Frutti Little Richard 1955,Tutti Frutti Little Richard 
,,,,383 This Ole House Rosemary Clooney 1954,This Ole House Rosemary Clooney 1954,This Ole House Rosemary Clooney 
